good_model,bad_model,pair_mean,pair_n,solo_mean,solo_n,delta_vs_solo,weight
gpt-4.1,gpt-4.1,294.3829787234043,47,514.734693877551,49,-220.3517151541467,47
gpt-4.1,gpt-4o-mini,318.96,25,514.734693877551,49,-195.774693877551,25
gpt-4.1,gpt-5.1,298.16326530612247,49,514.734693877551,49,-216.5714285714285,49
gpt-4.1,gpt-5.4,250.64,50,514.734693877551,49,-264.094693877551,50
gpt-4o-mini,gpt-4.1,242.05,40,305.0,8,-62.94999999999999,40
gpt-4o-mini,gpt-4o-mini,240.85714285714286,21,305.0,8,-64.14285714285714,21
gpt-4o-mini,gpt-5.1,304.5,40,305.0,8,-0.5,40
gpt-4o-mini,gpt-5.4,240.52173913043478,46,305.0,8,-64.47826086956522,46
gpt-5.1,gpt-4.1,432.5652173913044,46,456.6938775510204,49,-24.12866015971605,46
gpt-5.1,gpt-4o-mini,506.1666666666667,36,456.6938775510204,49,49.472789115646265,36
gpt-5.1,gpt-5.1,333.8775510204082,49,456.6938775510204,49,-122.81632653061223,49
gpt-5.1,gpt-5.4,298.0816326530612,49,456.6938775510204,49,-158.61224489795921,49
gpt-5.4,gpt-4.1,447.9591836734694,49,399.9591836734694,49,48.0,49
gpt-5.4,gpt-4o-mini,492.16326530612247,49,399.9591836734694,49,92.20408163265307,49
gpt-5.4,gpt-5.1,403.24,50,399.9591836734694,49,3.280816326530612,50
gpt-5.4,gpt-5.4,374.6,50,399.9591836734694,49,-25.359183673469374,50
