good_model,bad_model,pair_mean,pair_n,solo_mean,solo_n,delta_vs_solo,row_average,column_average,expected_from_row_column,unexpected_cell,metric
gpt-4.1,gpt-4.1,298.2994652406417,187,517.010752688172,186,-218.7112874475303,-222.22296120794357,-34.21600372773017,-205.12902038663756,-13.582267060892747,actual_score
gpt-4.1,gpt-4o-mini,300.93333333333334,90,517.010752688172,186,-216.0774193548387,-222.22296120794357,-18.72838448248617,-189.64140114139354,-26.436018213445152,actual_score
gpt-4.1,gpt-5.1,325.8775510204082,196,517.010752688172,186,-191.13320166776384,-222.22296120794357,-46.15881729716702,-217.07183395607436,25.938632288310515,actual_score
gpt-4.1,gpt-5.4,254.0408163265306,196,517.010752688172,186,-262.96993636164143,-222.22296120794357,-106.13657268876149,-277.0495893476688,14.079652986027384,actual_score
gpt-4o-mini,gpt-4.1,240.8993288590604,149,287.78723404255317,47,-46.88790518349276,-28.565580604276725,-34.21600372773017,-11.471639782970684,-35.41626540052208,actual_score
gpt-4o-mini,gpt-4o-mini,242.26373626373626,91,287.78723404255317,47,-45.5234977788169,-28.565580604276725,-18.72838448248617,4.0159794622733145,-49.53947724109022,actual_score
gpt-4o-mini,gpt-5.1,312.3478260869565,184,287.78723404255317,47,24.560592044403336,-28.565580604276725,-46.15881729716702,-23.41445335240754,47.97504539681088,actual_score
gpt-4o-mini,gpt-5.4,241.3757225433526,173,287.78723404255317,47,-46.41151149920057,-28.565580604276725,-106.13657268876149,-83.392208744002,36.98069724480143,actual_score
gpt-5.1,gpt-4.1,427.23376623376623,154,425.28205128205127,195,1.951714951714962,-49.736181980491736,-34.21600372773017,-32.642241159185694,34.593956110900656,actual_score
gpt-5.1,gpt-4o-mini,467.4166666666667,144,425.28205128205127,195,42.134615384615415,-49.736181980491736,-18.72838448248617,-17.15462191394169,59.289237298557104,actual_score
gpt-5.1,gpt-5.1,329.4922279792746,193,425.28205128205127,195,-95.78982330277665,-49.736181980491736,-46.15881729716702,-44.585054728622545,-51.20476857415411,actual_score
gpt-5.1,gpt-5.4,278.0408163265306,196,425.28205128205127,195,-147.24123495552067,-49.736181980491736,-106.13657268876149,-104.56281012021702,-42.678424835303645,actual_score
gpt-5.4,gpt-4.1,475.90909090909093,198,349.1256281407035,199,126.78346276838744,95.28494559656718,-34.21600372773017,112.37888641787322,14.404576350514219,actual_score
gpt-5.4,gpt-4o-mini,493.678391959799,199,349.1256281407035,199,144.5527638190955,95.28494559656718,-18.72838448248617,127.86650566311721,16.686258155978294,actual_score
gpt-5.4,gpt-5.1,426.8527918781726,197,349.1256281407035,199,77.72716373746908,95.28494559656718,-46.15881729716702,100.43607284843637,-22.708909110967284,actual_score
gpt-5.4,gpt-5.4,381.2020202020202,198,349.1256281407035,199,32.07639206131671,95.28494559656718,-106.13657268876149,40.458317456841904,-8.381925395525194,actual_score
