good_model,bad_model,pair_mean,pair_n,solo_mean,solo_n,delta_vs_solo,weight
gpt-4.1,gpt-4.1,297.8723404255319,47,507.51020408163265,49,-209.63786365610076,47
gpt-4.1,gpt-4o-mini,324.32,25,507.51020408163265,49,-183.19020408163266,25
gpt-4.1,gpt-5.1,295.7551020408163,49,507.51020408163265,49,-211.75510204081633,49
gpt-4.1,gpt-5.4,252.96,50,507.51020408163265,49,-254.55020408163264,50
gpt-4o-mini,gpt-4.1,241.7,40,305.0,8,-63.30000000000001,40
gpt-4o-mini,gpt-4o-mini,241.33333333333334,21,305.0,8,-63.66666666666666,21
gpt-4o-mini,gpt-5.1,299.2,40,305.0,8,-5.800000000000011,40
gpt-4o-mini,gpt-5.4,240.52173913043478,46,305.0,8,-64.47826086956522,46
gpt-5.1,gpt-4.1,441.82608695652175,46,454.7755102040816,49,-12.949423247559878,46
gpt-5.1,gpt-4o-mini,502.1111111111111,36,454.7755102040816,49,47.33560090702946,36
gpt-5.1,gpt-5.1,337.7959183673469,49,454.7755102040816,49,-116.9795918367347,49
gpt-5.1,gpt-5.4,300.81632653061223,49,454.7755102040816,49,-153.9591836734694,49
gpt-5.4,gpt-4.1,445.7959183673469,49,398.7755102040816,49,47.0204081632653,49
gpt-5.4,gpt-4o-mini,488.0,49,398.7755102040816,49,89.22448979591837,49
gpt-5.4,gpt-5.1,413.52,50,398.7755102040816,49,14.744489795918355,50
gpt-5.4,gpt-5.4,372.88,50,398.7755102040816,49,-25.89551020408163,50
