good_model,bad_model,round,mean_cumulative_score,mean_reward,n
gpt-4.1,gpt-4.1,1,8.0,8.0,187
gpt-4.1,gpt-4.1,2,19.668449197860962,11.668449197860962,187
gpt-4.1,gpt-4.1,3,34.8235294117647,15.155080213903743,187
gpt-4.1,gpt-4.1,4,54.716577540106954,19.893048128342247,187
gpt-4.1,gpt-4.1,5,66.41711229946524,11.70053475935829,187
gpt-4.1,gpt-4.1,6,79.85026737967914,13.433155080213904,187
gpt-4.1,gpt-4.1,7,93.25133689839572,13.401069518716577,187
gpt-4.1,gpt-4.1,8,106.43850267379679,13.18716577540107,187
gpt-4.1,gpt-4.1,9,117.56149732620321,11.122994652406417,187
gpt-4.1,gpt-4.1,10,128.05347593582889,10.491978609625669,187
gpt-4.1,gpt-4.1,11,138.0855614973262,10.032085561497325,187
gpt-4.1,gpt-4.1,12,147.70053475935828,9.614973262032086,187
gpt-4.1,gpt-4.1,13,156.93048128342247,9.229946524064172,187
gpt-4.1,gpt-4.1,14,165.7860962566845,8.855614973262032,187
gpt-4.1,gpt-4.1,15,174.67379679144386,8.88770053475936,187
gpt-4.1,gpt-4.1,16,183.06951871657753,8.39572192513369,187
gpt-4.1,gpt-4.1,17,191.4866310160428,8.417112299465241,187
gpt-4.1,gpt-4.1,18,200.02139037433156,8.53475935828877,187
gpt-4.1,gpt-4.1,19,208.3957219251337,8.37433155080214,187
gpt-4.1,gpt-4.1,20,216.50267379679144,8.106951871657754,187
gpt-4.1,gpt-4.1,21,224.80213903743316,8.29946524064171,187
gpt-4.1,gpt-4.1,22,233.12299465240642,8.320855614973262,187
gpt-4.1,gpt-4.1,23,241.44385026737967,8.320855614973262,187
gpt-4.1,gpt-4.1,24,249.52941176470588,8.085561497326204,187
gpt-4.1,gpt-4.1,25,257.5401069518717,8.010695187165775,187
gpt-4.1,gpt-4.1,26,265.67914438502675,8.13903743315508,187
gpt-4.1,gpt-4.1,27,273.8181818181818,8.13903743315508,187
gpt-4.1,gpt-4.1,28,281.9572192513369,8.13903743315508,187
gpt-4.1,gpt-4.1,29,290.16042780748666,8.203208556149733,187
gpt-4.1,gpt-4.1,30,298.2994652406417,8.13903743315508,187
gpt-4.1,gpt-4o-mini,1,8.0,8.0,90
gpt-4.1,gpt-4o-mini,2,18.933333333333334,10.933333333333334,90
gpt-4.1,gpt-4o-mini,3,33.37777777777778,14.444444444444445,90
gpt-4.1,gpt-4o-mini,4,50.31111111111111,16.933333333333334,90
gpt-4.1,gpt-4o-mini,5,61.111111111111114,10.8,90
gpt-4.1,gpt-4o-mini,6,73.08888888888889,11.977777777777778,90
gpt-4.1,gpt-4o-mini,7,84.53333333333333,11.444444444444445,90
gpt-4.1,gpt-4o-mini,8,95.97777777777777,11.444444444444445,90
gpt-4.1,gpt-4o-mini,9,106.77777777777777,10.8,90
gpt-4.1,gpt-4o-mini,10,118.13333333333334,11.355555555555556,90
gpt-4.1,gpt-4o-mini,11,127.55555555555556,9.422222222222222,90
gpt-4.1,gpt-4o-mini,12,137.17777777777778,9.622222222222222,90
gpt-4.1,gpt-4o-mini,13,146.9111111111111,9.733333333333333,90
gpt-4.1,gpt-4o-mini,14,156.22222222222223,9.311111111111112,90
gpt-4.1,gpt-4o-mini,15,165.66666666666666,9.444444444444445,90
