good_model,bad_model,source,run_id,n_rounds,total_score,discovered_optimal,discovery_round,last_optimal_round,hard_abandoned,abandoned_to_safe,post_discovery_optimal_share,final_optimal_share,final_safe_share,trajectory
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r001.log,30,240.0,True,4.0,4.0,True,True,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r002.log,30,450.0,True,4.0,20.0,True,True,0.48148148148148145,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r003.log,30,438.0,True,4.0,16.0,True,True,0.2962962962962963,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r004.log,30,292.0,True,4.0,8.0,True,True,0.07407407407407407,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r005.log,30,304.0,True,4.0,4.0,True,False,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r006.log,30,300.0,True,4.0,8.0,True,True,0.18518518518518517,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r007.log,30,310.0,True,4.0,10.0,True,True,0.18518518518518517,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r008.log,30,258.0,True,4.0,4.0,True,False,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r009.log,30,272.0,True,4.0,4.0,True,True,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r010.log,30,386.0,True,4.0,16.0,True,True,0.2222222222222222,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r011.log,30,324.0,True,4.0,15.0,True,True,0.2222222222222222,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r012.log,30,242.0,True,4.0,4.0,True,False,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r013.log,30,350.0,True,4.0,11.0,True,True,0.2222222222222222,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r014.log,30,292.0,True,4.0,9.0,True,True,0.14814814814814814,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r015.log,30,368.0,True,4.0,13.0,True,True,0.2222222222222222,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r016.log,30,260.0,True,4.0,4.0,True,False,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r017.log,30,258.0,True,4.0,4.0,True,False,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r018.log,30,370.0,True,4.0,16.0,True,True,0.14814814814814814,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r019.log,30,292.0,True,5.0,5.0,True,False,0.038461538461538464,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r020.log,30,312.0,True,4.0,11.0,True,False,0.14814814814814814,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r021.log,30,278.0,True,4.0,4.0,True,False,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r022.log,30,312.0,True,4.0,8.0,True,False,0.07407407407407407,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r023.log,30,456.0,True,4.0,19.0,True,True,0.5555555555555556,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r024.log,30,272.0,True,4.0,8.0,True,True,0.07407407407407407,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r025.log,30,368.0,True,4.0,15.0,True,True,0.2222222222222222,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r026.log,30,290.0,True,4.0,10.0,True,True,0.1111111111111111,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r027.log,30,264.0,True,4.0,4.0,True,True,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r028.log,30,300.0,True,4.0,7.0,True,False,0.07407407407407407,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r029.log,30,248.0,True,4.0,4.0,True,True,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r030.log,30,306.0,True,4.0,8.0,True,False,0.07407407407407407,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r031.log,30,264.0,True,4.0,4.0,True,True,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r032.log,30,282.0,True,4.0,8.0,True,True,0.14814814814814814,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r033.log,30,264.0,True,4.0,4.0,True,False,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r034.log,30,314.0,True,4.0,11.0,True,True,0.18518518518518517,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r035.log,30,328.0,True,4.0,7.0,True,False,0.07407407407407407,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r036.log,30,290.0,True,4.0,9.0,True,True,0.1111111111111111,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r037.log,30,262.0,True,4.0,4.0,True,False,0.037037037037037035,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r038.log,30,310.0,True,4.0,11.0,True,False,0.1111111111111111,0.0,1.0,discovered_then_abandoned
gpt-4.1,gpt-4.1,async_lattices_50x30_extra,async_lattices_50x30_extra:gpt-4.1_vs_gpt-4.1_r039.log,30,262.0,True,4.0,4.0,True,False,0.037037037037037035,0.0,1.0,discovered_then_abandoned
